lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,4.5e-07,2.725e-06,3.0669e-05,0.000390795,0.00502972,0.0603978,0.725708,8.60332
half_sorted,2.71e-07,2.695e-06,3.3463e-05,0.000424138,0.00586004,0.0863648,1.82719,44.8733
n&p,2.5e-07,2.736e-06,3.4305e-05,0.000437905,0.00643786,0.105948,2.8238,79.8243
n,2.61e-07,2.675e-06,3.4196e-05,0.000435611,0.0064296,0.105634,2.57073,73.5539
only3,2.41e-07,2.555e-06,3.2653e-05,0.00041966,0.00524537,0.0643449,0.829995,9.43857
p,1.9e-07,2.585e-06,3.3964e-05,0.000454576,0.00639876,0.107271,3.14234,79.9834
r_half_sorted,1.71e-07,2.505e-06,3.3083e-05,0.000420512,0.00588876,0.0879004,1.78421,50.7519
r_sorted,2.1e-07,2.084e-06,2.9637e-05,0.000390154,0.00501925,0.0616998,0.764364,9.42903
r_sorted_10batch,1.3e-07,2.034e-06,2.8164e-05,0.000383441,0.00492441,0.0602079,0.724225,8.54779
r_sorted_only3,1.5e-07,1.863e-06,2.8113e-05,0.00038265,0.00498548,0.0605921,0.798245,8.88991
sorted,2.4e-07,2.344e-06,3.1029e-05,0.000403299,0.00526753,0.0623904,0.75181,8.82006
sorted_10batch,1.5e-07,2.294e-06,3.0308e-05,0.000407407,0.00525232,0.0611179,0.75884,9.11472
sorted_only3,1.81e-07,2.314e-06,3.0318e-05,0.000400804,0.00512562,0.0618673,0.820729,9.56484
