lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,2.575e-06,1.903e-06,1.2163e-05,0.000158418,0.00263306,0.0183973,0.260919,3.04332
half_sorted,3.71e-07,2.284e-06,2.7081e-05,0.000335041,0.00397377,0.0471042,0.600629,6.56772
n&p,3.41e-07,2.996e-06,3.736e-05,0.000495734,0.00619533,0.0777596,0.898755,10.1221
n,3.21e-07,2.945e-06,3.712e-05,0.000507656,0.00643887,0.0737311,0.929195,10.302
only3,3.1e-07,2.224e-06,2.09e-05,0.00026523,0.00257573,0.0278882,0.364518,4.04447
p,2.51e-07,2.846e-06,3.7701e-05,0.000486927,0.00610479,0.0736612,0.889381,10.0515
r_half_sorted,2.8e-07,2.244e-06,2.6009e-05,0.000324851,0.00405246,0.047374,0.584592,6.63582
r_sorted,2.81e-07,1.062e-06,9.468e-06,0.000139863,0.00153373,0.0182675,0.25795,2.83007
r_sorted_10batch,1.81e-07,1.553e-06,1.2073e-05,0.000138881,0.00162272,0.0186727,0.251805,2.8219
r_sorted_only3,3.1e-07,1.403e-06,1.1141e-05,0.000146757,0.0016182,0.0184241,0.256054,2.79765
sorted,3.2e-07,1.082e-06,1.0059e-05,0.000149641,0.00156529,0.0182166,0.251205,2.745
sorted_10batch,2.6e-07,9.82e-07,1.0079e-05,0.000142248,0.0016166,0.0177959,0.248344,2.86707
sorted_only3,2.01e-07,9.92e-07,1.089e-05,0.000142789,0.00156935,0.0177915,0.256287,2.75369
