lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,2.114e-06,3.547e-06,1.8485e-05,0.000220338,0.0020886,0.0197561,0.258941,3.14502
half_sorted,9.42e-07,7.254e-06,5.6316e-05,0.000687604,0.00623208,0.157245,2.23711,20.0806
n&p,9.32e-07,6.723e-06,5.6598e-05,0.000590461,0.00693636,0.189176,2.9427,27.4044
n,7.81e-07,5.38e-06,4.8331e-05,0.00099621,0.0103167,0.250915,2.51621,28.1759
only3,7.61e-07,1.954e-06,9.338e-06,8.0643e-05,0.000700229,0.00798555,0.11104,0.930932
p,7.01e-07,5.61e-06,4.7039e-05,0.000552899,0.00799204,0.293094,2.41204,27.7696
r_half_sorted,6.51e-07,5.961e-06,5.251e-05,0.000539825,0.00662521,0.144787,2.32743,22.4874
r_sorted,6.42e-07,5.771e-06,5.1948e-05,0.000486543,0.00594481,0.0632082,0.603341,5.71166
r_sorted_10batch,7.51e-07,3.156e-06,1.4037e-05,0.000119477,0.00175102,0.0156222,0.241059,2.35709
r_sorted_only3,5.01e-07,1.563e-06,9.608e-06,6.857e-05,0.000711921,0.00921058,0.105346,0.886106
sorted,7.82e-07,5.951e-06,5.1577e-05,0.000491442,0.00534851,0.0575704,0.610202,5.98417
sorted_10batch,6.82e-07,2.705e-06,1.3856e-05,0.000119467,0.0017506,0.0183525,0.21803,2.34195
sorted_only3,4.4e-07,1.433e-06,8.216e-06,7.0594e-05,0.000708134,0.010178,0.108943,0.860274
