lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,1.663e-06,3.927e-06,1.1492e-05,8.0292e-05,0.000809644,0.00827994,0.0908676,1.00514
half_sorted,1.173e-06,4.528e-06,2.4847e-05,0.000255043,0.00416675,0.0995235,2.90402,88.3002
n&p,1.082e-06,4.388e-06,3.0618e-05,0.000308925,0.00465003,0.103945,2.99711,88.3689
n,8.32e-07,4.088e-06,2.625e-05,0.00032191,0.00542778,0.134955,4.03957,124.573
only3,8.42e-07,2.094e-06,9.488e-06,7.0624e-05,0.000758728,0.00868191,0.0902104,0.964938
p,7.71e-07,3.717e-06,2.7112e-05,0.000296041,0.00553613,0.13675,3.99504,122.942
r_half_sorted,8.92e-07,3.988e-06,2.4887e-05,0.000250484,0.00415665,0.0983313,2.92233,87.5752
r_sorted,8.11e-07,3.386e-06,1.9046e-05,0.000203586,0.00374894,0.0961785,2.89079,87.586
r_sorted_10batch,8.42e-07,2.905e-06,1.3025e-05,7.8869e-05,0.000927587,0.0090223,0.102533,1.03345
r_sorted_only3,6.41e-07,1.913e-06,8.225e-06,8.7215e-05,0.000698704,0.00790783,0.083382,0.980232
sorted,7.72e-07,3.166e-06,1.7043e-05,0.000210599,0.00380641,0.0950055,2.86894,87.9155
sorted_10batch,7.71e-07,2.815e-06,9.748e-06,7.9421e-05,0.000782372,0.00810262,0.0998656,1.02497
sorted_only3,5.51e-07,1.804e-06,8.216e-06,6.9111e-05,0.000699435,0.00866534,0.0917213,0.931826
