lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,5.91e-07,2.004e-06,1.077e-05,9.3115e-05,0.00108497,0.0115905,0.129919,1.45931
half_sorted,3.01e-07,3.587e-06,4.2751e-05,0.000476307,0.00836728,0.218651,1.12156,7.43203
n&p,2.71e-07,3.757e-06,4.3642e-05,0.000522985,0.00603048,0.0673791,0.762183,8.42413
n,2.21e-07,3.597e-06,4.3312e-05,0.000524217,0.00600631,0.0681621,0.759212,8.74469
only3,2.31e-07,2.114e-06,1.7183e-05,0.000161484,0.00165177,0.0170749,0.184171,2.02704
p,2.2e-07,3.507e-06,4.3151e-05,0.000507856,0.00604997,0.0676911,0.767369,8.59124
r_half_sorted,2.51e-07,3.667e-06,4.3642e-05,0.000461799,0.00573701,0.0611582,1.23383,33.6513
r_sorted,2.31e-07,1.853e-06,1.0429e-05,8.6343e-05,0.000920825,0.0100335,0.108764,1.24167
r_sorted_10batch,1.1e-07,1.794e-06,1.1511e-05,9.8145e-05,0.00104217,0.011532,0.135191,1.46779
r_sorted_only3,1.9e-07,1.714e-06,9.839e-06,9.3857e-05,0.00104377,0.0114699,0.131824,1.50443
sorted,1.5e-07,1.122e-06,8.436e-06,8.2755e-05,0.000927547,0.00987019,0.107606,1.24543
sorted_10batch,1.2e-07,1.182e-06,9.788e-06,9.0811e-05,0.000995034,0.0119402,0.135067,1.5281
sorted_only3,1.9e-07,1.422e-06,9.307e-06,8.8827e-05,0.00104602,0.0120868,0.132286,1.44694
