lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,5.61e-07,1.052e-06,3.066e-06,2.4857e-05,0.000346054,0.00326642,0.0266745,0.321105
half_sorted,2.6e-07,3.507e-06,7.1996e-05,0.000515235,0.00713689,0.570042,2.40146,9.46857
n&p,2.81e-07,3.567e-06,4.4754e-05,0.000567564,0.00686847,0.0808627,0.9263,10.627
n,2.6e-07,3.507e-06,4.4264e-05,0.000559077,0.00697819,0.0813305,0.971659,10.6214
only3,1.6e-07,7.42e-07,5.871e-06,5.6577e-05,0.000562965,0.00562936,0.0647584,0.670465
p,2.81e-07,3.377e-06,4.3873e-05,0.000554138,0.00686252,0.0833776,0.960602,10.493
r_half_sorted,3e-07,3.476e-06,4.5065e-05,0.000510636,0.00734446,0.127029,1.57312,28.2619
r_sorted,2.3e-07,1.784e-06,1.579e-05,0.000157027,0.0018702,0.0223643,0.248915,2.88268
r_sorted_10batch,9.1e-08,6.51e-07,3.045e-06,2.9697e-05,0.000215778,0.00235611,0.022715,0.254962
r_sorted_only3,9e-08,2.91e-07,1.643e-06,1.7413e-05,0.000141418,0.00130802,0.0126643,0.130343
sorted,2.21e-07,1.463e-06,1.3485e-05,0.000173318,0.00209729,0.0226239,0.258301,3.00933
sorted_10batch,1.11e-07,5.11e-07,2.504e-06,2.4246e-05,0.000315146,0.00231299,0.0242678,0.266968
sorted_only3,1.21e-07,2.7e-07,1.372e-06,1.3606e-05,0.000188356,0.00137133,0.0144483,0.140266
