lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,6.91e-07,1.964e-06,1.2784e-05,0.000139433,0.0015836,0.0190055,0.231551,2.60021
half_sorted,2.31e-07,2.224e-06,2.7492e-05,0.0003347,0.0040742,0.0485992,0.566625,6.39135
n&p,2.7e-07,2.856e-06,3.9344e-05,0.000506223,0.00625849,0.0746934,0.884294,10.1376
n,2.21e-07,3.597e-06,3.8974e-05,0.000495984,0.00616473,0.0743383,0.877935,10.0007
only3,1.9e-07,2.445e-06,2.2933e-05,0.000262554,0.00268801,0.0292515,0.340849,3.54548
p,2e-07,2.865e-06,3.8763e-05,0.000518727,0.00614608,0.074169,0.883033,10.0567
r_half_sorted,2.21e-07,1.984e-06,2.7602e-05,0.000335832,0.00410915,0.0483919,0.587894,6.41263
r_sorted,1.8e-07,9.52e-07,1.1491e-05,0.000127871,0.00161599,0.0188944,0.210929,2.51921
r_sorted_10batch,1e-07,1.543e-06,1.2664e-05,0.000131097,0.00167942,0.0188413,0.227832,2.52519
r_sorted_only3,1.9e-07,1.362e-06,1.1532e-05,0.000128452,0.00164837,0.0186791,0.211267,2.46628
sorted,1.9e-07,9.82e-07,1.043e-05,0.000126408,0.00157148,0.0184664,0.207756,2.59653
sorted_10batch,1.6e-07,8.82e-07,1.1231e-05,0.000126238,0.00157593,0.0184604,0.20538,2.48628
sorted_only3,1.4e-07,8.62e-07,1.1261e-05,0.000126378,0.00166997,0.0184663,0.204947,2.48383
