lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,5.61e-07,1.4988e-05,0.00104029,0.127698,12.8955
half_sorted,6.62e-07,1.8484e-05,0.00126917,0.133282,19.2554
n&p,3.51e-07,2.2863e-05,0.00185603,0.173265,24.2837
n,3.6e-07,2.1961e-05,0.00164387,0.168786,24.1636
only3,3.81e-07,1.3415e-05,0.00104875,0.114211,18.4273
p,5.91e-07,2.1601e-05,0.00159382,0.166714,24.2015
r_half_sorted,4.61e-07,2.3514e-05,0.00179347,0.192797,24.5837
r_sorted,4.7e-07,2.8173e-05,0.00263555,0.261765,26.3017
r_sorted_10batch,2.9e-07,2.6169e-05,0.00238438,0.235645,23.5935
r_sorted_only3,3.6e-07,1.8385e-05,0.00175863,0.174283,17.5068
sorted,8e-08,1.11e-07,5.11e-07,4.729e-06,4.7289e-05
sorted_10batch,6e-08,1.1e-07,5.11e-07,4.709e-06,4.7279e-05
sorted_only3,6e-08,1e-07,5.21e-07,9.388e-06,4.7269e-05
