lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,5.51e-07,2.725e-06,2.6451e-05,0.000304759,0.00386467,0.0444131,0.532203,6.29554
half_sorted,2.31e-07,2.384e-06,2.7523e-05,0.000354275,0.00467648,0.0687889,1.47478,35.3077
n&p,2e-07,2.434e-06,2.9237e-05,0.000367741,0.00507433,0.0817303,2.15606,55.0397
n,2.31e-07,2.325e-06,2.9297e-05,0.000366609,0.00508508,0.0858287,2.2653,55.5401
only3,2.31e-07,2.464e-06,2.6602e-05,0.000302615,0.00348494,0.0400427,0.459028,5.2599
p,2e-07,2.364e-06,2.8845e-05,0.000382079,0.00511862,0.0827961,2.2256,54.1926
r_half_sorted,2.01e-07,2.064e-06,2.6962e-05,0.000344897,0.00464382,0.0692525,1.48563,35.8595
r_sorted,1.81e-07,1.964e-06,2.3466e-05,0.000307114,0.00394722,0.0487849,0.60635,7.15473
r_sorted_10batch,1e-07,1.764e-06,2.3976e-05,0.000307534,0.00378299,0.0454233,0.533102,6.05387
r_sorted_only3,1.31e-07,1.673e-06,1.8987e-05,0.000227059,0.00280194,0.0334315,0.399904,4.52851
sorted,2.3e-07,1.933e-06,2.3295e-05,0.000308876,0.00400402,0.0476739,0.592774,6.77339
sorted_10batch,1.4e-07,2.104e-06,2.6482e-05,0.000326852,0.00387044,0.0453049,0.531611,6.19706
sorted_only3,2e-07,1.954e-06,2.2694e-05,0.00026392,0.00303702,0.0353694,0.41745,4.75733
