lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,2.1e-07,8.977e-06,0.000919622,0.0937961,9.39304
half_sorted,1.8e-07,8.536e-06,0.000927808,0.0938911,9.39112
n&p,1.81e-07,9.487e-06,0.00095061,0.0937684,9.40578
n,1.51e-07,1.1451e-05,0.000931675,0.0937956,9.36017
only3,1.7e-07,9.207e-06,0.000927667,0.0937603,9.398
p,1.51e-07,9.107e-06,0.000942556,0.0937799,9.4104
r_half_sorted,1.4e-07,9.508e-06,0.000932777,0.093844,9.40931
r_sorted,1.5e-07,8.767e-06,0.000926225,0.0937535,9.31653
r_sorted_10batch,1.01e-07,8.236e-06,0.000924781,0.0937595,9.28554
r_sorted_only3,1.41e-07,8.937e-06,0.000916265,0.0936842,9.32482
sorted,1.2e-07,8.065e-06,0.00091287,0.0936786,9.29616
sorted_10batch,6e-08,7.243e-06,0.00091285,0.0936293,9.34288
sorted_only3,5.1e-08,8.125e-06,0.000918119,0.0936829,9.41291
