lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,4.9e-07,3.206e-06,3.0237e-05,0.00039639,0.00497456,0.0601334,0.763345,8.88793
half_sorted,2.81e-07,2.926e-06,3.717e-05,0.00044477,0.00624921,0.106132,2.30078,50.3236
n&p,2.9e-07,2.996e-06,3.3714e-05,0.00046045,0.00700304,0.113377,2.93277,77.3805
n,2.61e-07,2.825e-06,3.3854e-05,0.000457424,0.00705976,0.113282,3.17152,77.0915
only3,2.81e-07,2.554e-06,3.2271e-05,0.000419723,0.00526904,0.0651636,0.899336,9.5193
p,2.2e-07,2.565e-06,3.3454e-05,0.000467494,0.007032,0.112883,3.35466,77.3008
r_half_sorted,2.2e-07,2.515e-06,3.189e-05,0.000439019,0.00637442,0.093607,2.18632,50.5977
r_sorted,2.3e-07,1.984e-06,2.9225e-05,0.000389266,0.00499592,0.0611788,0.794473,9.63679
r_sorted_10batch,1.8e-07,1.994e-06,2.7993e-05,0.000380869,0.00492323,0.0590684,0.717424,8.28744
r_sorted_only3,1.5e-07,1.943e-06,2.7923e-05,0.000385949,0.00495609,0.0607704,0.8375,8.94002
sorted,2.6e-07,2.474e-06,3.0829e-05,0.000403984,0.00518178,0.061413,0.760149,8.74735
sorted_10batch,1.7e-07,2.264e-06,3.0086e-05,0.00040193,0.00512173,0.0634749,0.77468,8.91491
sorted_only3,2.51e-07,2.234e-06,2.9656e-05,0.000403262,0.00520111,0.0630454,0.879708,9.42092
