lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,2.304e-06,1.833e-06,1.2153e-05,0.000160073,0.00193242,0.0293203,0.367841,4.79979
half_sorted,3.51e-07,2.525e-06,2.7332e-05,0.00038603,0.00437348,0.0614816,0.697388,8.3661
n&p,3.01e-07,3.066e-06,3.9053e-05,0.000522889,0.00668777,0.0886833,1.023,11.7891
n,2.91e-07,3.016e-06,3.8133e-05,0.000517779,0.00645903,0.0864091,1.03973,11.9146
only3,2.5e-07,2.525e-06,2.2222e-05,0.000250714,0.00281246,0.0394315,0.532175,5.62703
p,2.81e-07,2.996e-06,3.8252e-05,0.000510466,0.00647413,0.0865725,1.04864,11.8609
r_half_sorted,2.5e-07,2.404e-06,2.8474e-05,0.000351084,0.00432788,0.0636627,0.760113,8.4023
r_sorted,2.81e-07,1.402e-06,1.3826e-05,0.0001637,0.00187965,0.0281674,0.410408,4.90074
r_sorted_10batch,1.8e-07,1.663e-06,1.3305e-05,0.000150394,0.00181849,0.0265323,0.373136,4.45861
r_sorted_only3,2.6e-07,1.543e-06,1.2263e-05,0.000176474,0.00176479,0.0266055,0.369537,4.57205
sorted,3e-07,1.082e-06,1.1331e-05,0.000167166,0.00172723,0.0276759,0.390051,4.72682
sorted_10batch,1.6e-07,1.022e-06,1.1402e-05,0.000169791,0.0021805,0.0293322,0.378197,5.01362
sorted_only3,1.8e-07,1.022e-06,1.1241e-05,0.000144113,0.00170189,0.029584,0.35736,4.62322
