lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,5.31e-07,1.894e-06,1.094e-05,0.000104688,0.00117384,0.0140384,0.153474,1.55732
half_sorted,3e-07,3.617e-06,4.1689e-05,0.000478626,0.00544797,0.0642013,5.4136,298.527
n&p,2.9e-07,3.757e-06,4.5476e-05,0.00052925,0.00618945,0.0691928,0.771486,8.66847
n,3.2e-07,3.567e-06,4.5005e-05,0.000523991,0.00612267,0.0686612,0.79896,8.61317
only3,2.6e-07,2.185e-06,1.7393e-05,0.000175502,0.00176669,0.0185422,0.206138,2.2087
p,2.8e-07,3.486e-06,4.3813e-05,0.000530062,0.00601581,0.0683873,0.787001,8.60563
r_half_sorted,3e-07,3.537e-06,3.9084e-05,0.00047583,0.00532896,0.0835263,0.852963,281.82
r_sorted,2.51e-07,1.703e-06,9.839e-06,8.5562e-05,0.000952161,0.0101395,0.118366,1.37853
r_sorted_10batch,1.3e-07,1.834e-06,1.1141e-05,0.000103767,0.00116741,0.013997,0.15555,1.6016
r_sorted_only3,2.2e-07,1.673e-06,1.056e-05,0.000104338,0.00122331,0.0132128,0.155421,1.54753
sorted,1.7e-07,1.062e-06,8.406e-06,9.2014e-05,0.000981907,0.0102652,0.118414,1.34004
sorted_10batch,1e-07,1.072e-06,9.398e-06,0.000106631,0.00113757,0.0143709,0.163061,1.68057
sorted_only3,2.6e-07,1.002e-06,9.297e-06,0.000101832,0.00123014,0.0137697,0.144535,1.495
