lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,7.02e-07,1.904e-06,4.0807e-05,0.00318781,0.284252,23.8027
half_sorted,2.3e-07,2.444e-06,3.2241e-05,0.000392592,0.00476611,0.0564104
n&p,2.2e-07,2.635e-06,3.5708e-05,0.000458307,0.00553115,0.0675904
n,1.91e-07,2.485e-06,3.5658e-05,0.000445803,0.00559024,0.0667992
only3,2.5e-07,2.334e-06,9.2555e-05,0.00803534,0.792243,79.7214
p,2.3e-07,2.725e-06,3.5657e-05,0.000456113,0.00563773,0.0668278
r_half_sorted,1.7e-07,2.445e-06,3.1469e-05,0.000409505,0.00486708,0.0559723
r_sorted,2.01e-07,1.773e-06,1.6882e-05,0.000209587,0.00279369,0.0395121
r_sorted_10batch,1.1e-07,1.393e-06,3.5517e-05,0.00247049,0.240464,23.9154
r_sorted_only3,2.2e-07,2.134e-06,9.1082e-05,0.0104558,1.05714,106.533
sorted,2.2e-07,1.272e-06,9.528e-06,0.000112172,0.00135961,0.0156209
sorted_10batch,1.31e-07,1.874e-06,8.3839e-05,0.00752305,0.768826,75.3466
sorted_only3,1.8e-07,2.044e-06,0.0001163,0.0103805,1.08989,107.281
