lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,4.81e-07,8.61e-07,3.206e-06,2.7943e-05,0.000276883,0.00353201,0.029628,0.413736
half_sorted,2.81e-07,3.717e-06,4.1358e-05,0.000505696,0.0063431,0.0890176,0.83701,1408.96
n&p,3.31e-07,3.376e-06,4.2971e-05,0.000553656,0.00673255,0.0768205,0.891402,10.1039
n,2.3e-07,3.357e-06,4.4294e-05,0.000562643,0.00671981,0.0764725,0.893656,10.1031
only3,1.9e-07,7.41e-07,6.182e-06,5.6728e-05,0.00055041,0.00557988,0.0555714,0.601562
p,2.71e-07,3.406e-06,4.3342e-05,0.000549599,0.00659009,0.0807343,0.899562,10.0737
r_half_sorted,2.11e-07,3.336e-06,3.9224e-05,0.000535432,0.00644745,0.0960193,3.60396,262.628
r_sorted,2e-07,1.673e-06,1.4608e-05,0.000154733,0.00178576,0.020953,0.243806,2.78357
r_sorted_10batch,1.2e-07,6.31e-07,2.755e-06,2.2382e-05,0.000213864,0.00227363,0.0234591,0.236417
r_sorted_only3,1.6e-07,2.51e-07,1.383e-06,1.3376e-05,0.000116981,0.00120316,0.0127949,0.12646
sorted,2e-07,1.363e-06,1.3085e-05,0.000147309,0.00178492,0.0208157,0.244989,2.73912
sorted_10batch,1.1e-07,5.51e-07,2.615e-06,2.1841e-05,0.000227459,0.0024215,0.0244186,0.242445
sorted_only3,1.3e-07,2.71e-07,1.362e-06,1.2594e-05,0.000124776,0.00135018,0.0134757,0.134321
