lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,7.01e-07,2.225e-06,1.2704e-05,0.000140837,0.00180011,0.0195975,0.227939,3.02989
half_sorted,3.31e-07,2.535e-06,2.8424e-05,0.000344922,0.00454486,0.050815,0.581729,6.93673
n&p,2.81e-07,3.356e-06,4.1669e-05,0.000538248,0.00669329,0.0798014,0.943711,10.8476
n,2.61e-07,3.226e-06,4.0677e-05,0.000528931,0.00656756,0.0786056,0.928404,10.8125
only3,3.01e-07,2.625e-06,2.4877e-05,0.000260082,0.00288125,0.0322059,0.363032,4.05591
p,2.4e-07,3.076e-06,4.0216e-05,0.000523079,0.00660423,0.0788705,0.949108,10.7674
r_half_sorted,2.51e-07,2.365e-06,2.9185e-05,0.000354009,0.00427754,0.0563306,0.611301,7.26409
r_sorted,2.11e-07,1.242e-06,1.3055e-05,0.000129715,0.0016664,0.0300351,0.22781,3.04899
r_sorted_10batch,1.61e-07,1.813e-06,1.3927e-05,0.000143171,0.0016806,0.0213393,0.231866,3.05426
r_sorted_only3,2.21e-07,1.503e-06,1.2293e-05,0.000135807,0.00162414,0.0207235,0.22681,2.84298
sorted,2.2e-07,1.052e-06,1.1282e-05,0.000164361,0.00165895,0.0189464,0.214628,2.84246
sorted_10batch,1.5e-07,1.002e-06,1.1322e-05,0.000130678,0.00160014,0.0186497,0.245199,2.79353
sorted_only3,1.6e-07,9.82e-07,1.1301e-05,0.000129806,0.00157584,0.01864,0.228347,2.82077
