lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,6.22e-07,2.495e-06,2.6951e-05,0.000351485,0.00397272,0.0475907,0.588235,7.06753
half_sorted,2.51e-07,2.394e-06,2.8504e-05,0.000380058,0.0053677,0.0845314,2.21927,52.0388
n&p,2.3e-07,2.515e-06,2.9476e-05,0.000400036,0.00585667,0.124363,3.05377,81.1256
n,2.1e-07,2.384e-06,2.9907e-05,0.000402201,0.00584698,0.09993,3.32732,82.2346
only3,3.01e-07,2.505e-06,2.9516e-05,0.000308163,0.00350637,0.0397692,0.477995,5.38972
p,2.51e-07,2.434e-06,2.9957e-05,0.000394777,0.00579247,0.110184,3.23816,78.2355
r_half_sorted,1.8e-07,2.235e-06,2.7692e-05,0.000370962,0.00519732,0.0815404,2.241,47.6214
r_sorted,1.7e-07,2.024e-06,2.4676e-05,0.000395839,0.00439363,0.053246,0.667453,8.45642
r_sorted_10batch,1.1e-07,1.864e-06,2.4797e-05,0.000383235,0.00389628,0.0481631,0.550566,6.2929
r_sorted_only3,1.51e-07,1.733e-06,1.9858e-05,0.000235436,0.0028448,0.0339826,0.400877,4.51368
sorted,2e-07,1.984e-06,2.4125e-05,0.000329142,0.0042925,0.0515256,0.648074,7.38602
sorted_10batch,1.41e-07,2.134e-06,2.8695e-05,0.000339302,0.00402633,0.046638,0.567061,6.50813
sorted_only3,1.7e-07,1.924e-06,2.3474e-05,0.000260723,0.00300313,0.0357916,0.432483,4.88022
